Paraula,Definicio
convecció humida,['Convecció que es produeix quan l’aire se satura i forma gotetes d’aigua que conformen un núvol.']
convecció lliure,"['Ascens de l’aire causat de forma exclusiva per la seva flotabilitat, és a dir, per la diferència de densitat i temperatura d’aquest entre dos nivells d’una columna atmosfèrica.']"
convecció natural,['Convecció causada per diferències de densitat combinades amb l’acció de la gravetat.']
convecció profunda,"['Convecció humida de gran desenvolupament vertical, que pot assolir el límit superior de la tropopausa, amb corrents verticals superiors als 10 m ·s–1.']"
convecció seca,['Convecció en la qual no es formen núvols pel baix contingut d’humitat de l’aire.']
convecció penetrant,"['Petit corrent de convecció que travessen capes d’aire estables, sense alterar-ne gaire l’estratificació.']"
convergència,"['En el moviment horitzontal del vent i en una àrea determinada de la superfície terrestre, afluència d’aire en quantitat superior a la que en surt. La convergència genera moviments ascendents de l’aire damunt la superfície considerada.']"
conversió,"['Transformació de la mesura d’una magnitud, donada en un sistema d’unitats, en la que li correspon en un altre sistema. La lamentable multiplicitat de sistemes d’unitats que encara estan en ús en les ciències físiques exigeix molt sovint la conversió d’unitats dels uns als altres.']"
corba d’estat,['Representació gràfica del perfil vertical de la temperatura de l’aire a l’atmosfera en un lloc i en un moment determinats.']
corona,"['Petit cercle més o menys irisat que envolta el Sol o la Lluna quan passen darrere de núvols mitjans. Molt sovint està reduïda a l’aurèola, de color blanc blavenc amb vores rogenques. La corona és un efecte de la difracció de la llum.']"
corpus sant,['Foc de Sant Elm.']
correcció,"['Modificació, generalment petita, de la lectura d’un instrument, a fi d’obtenir un valor independent dels errors de mesura.']"
correcció atmosfèrica,['Correcció aplicada a la lectura d’un radiòmetre quan es té en compte la interacció entre l’atmosfera i la radiació per tal de poder comparar mesures preses en diferents llocs.']
correcció de gravetat,"['Reducció a la gravetat normal. Correcció que cal aplicar a l’altura de la columna en els baròmetres de mercuri, per a tenir la que marcaria l’aparell, amb la mateixa pressió atmosfèrica, si es trobés en la latitud de 45° i al nivell del mar.']"
correcció de temperatura,['Correcció aplicada a la lectura d’un baròmetre de mercuri per a eliminar l’efecte de la dilatació o la contracció de les seves parts a causa de la variació de temperatura.']
correcció de zero,"['Quantitat, positiva o negativa, que cal afegir a la lectura d’un instrument per a corregir-la de l’error de posició del zero de l’escala.']"
correlació,"['Interdependència de dues magnituds variables, posada de manifest per les seves variacions simultànies. El coeficient de correlació és un nombre comprès entre –1 i +1, que mesura el grau d’aquesta interdependència.']"
corrent d’aire,"['Flux d’aire en una determinada direcció horitzontal (vent) o vertical (ascens o descens de l’aire). En la parla col·loquial fa referència a un lleuger moviment de l’aire. A escala global, es parla de corrent en jet.']"
corrent en jet,"['Corrent tubular d’aire molt ràpid i de gran diàmetre, quasi horitzontal i situat generalment a prop de la tropopausa.']"
corrent en jet polar,['Corrent en jet situat a latituds mitjanes on la tropopausa experimenta una discontinuïtat.']
corrent en jet subtropical,['Corrent en jet situat a prop dels tròpics on la tropopausa experimenta una discontinuïtat.']
corrent equatorial,"['Corrent atmosfèric de l’hemisferi boreal, que ve generalment del SW i neix al sud del paral·lel de 30°.']"
corrent polar,['Corrent d’aire procedent de les regions polars.']
corrent tel·lúric,['Corrent elèctric que circula naturalment per l’escorça terrestre.']
cortina de precipitació,['Aspecte nítid en forma de cortina que presenta la precipitació d’algun dels hidrometeors des de la base d’un núvol.']
cos,"['Part central d’un sistema nuvolós, formada principalment per altoestratus i nimboestratus, freqüentment amb pluja seguida.']"
cos d’aire,['Massa d’aire.']
cos negre,['Cos que absorbeix completament qualsevol radiació que incideix sobre la seva superfície.']
cota de neu,"['Altitud a partir de la qual la precipitació és en forma de neu. Aquesta pot no coincidir amb l’altitud a partir de la qual aquesta precipitació roman al sòl en aquest estat, ja que depèn d’altres factors, per exemple, el tipus de terra, la temperatura del sòl, etc.']"
crepuscle,"['Claror que hi ha des del trenc d’alba fins a la sortida del Sol, o des de la posta del Sol fins a ésser nit fosca. És produïda per la reflexió i difusió de la llum solar en l’atmosfera. El crepuscle civil dura mentre és possible el treball ordinari a l’exterior, o sia mentre el Sol no és a més de 6° sota l’horitzó. Passat aquest límit fins a la total extinció de la claror del dia, o sia fins que el Sol arriba a 18° sota l’horitzó, es té el crepuscle astronòmic.']"
crepuscle civil,['Vegeu crepuscle.']
crepuscle astronòmic,['Vegeu crepuscle.']
creu del Sol,"['Reunió, prop del disc del Sol, d’una columna i d’un arc de cercle parhèlic, que en conjunt fan l’efecte d’una creu lluminosa.']"
creu de la Lluna,"['Creu de Sol, però amb el disc lunar, i d’intensitat més feble.']"
cua,"['Part posterior d’un sistema nuvolós depressionari, caracteritzada per núvols de forta convecció i ruixats isolats.']"
cua de front,['Extrem final d’un front polar que travessa per una zona. Típicament es parla d’una cua de front que frega pels Pirineus.']
cubeta,"['Vas petit, ple de mercuri, on va ficat l’extrem inferior, obert, del tub d’un baròmetre.']"
cullera,['Cadascuna de les semiesferes de l’anemòmetre de Robinson (anemòmetre de culleres).']
cumulus,['Cúmulus.']
cúmul,['Cúmulus.']
cúmulus,"['Núvol espès, de creixement vertical, el cim del qual forma una cúpula i és guarnit de protuberàncies arrodonides, mentre la base és gairebé horitzontal.']"
Cu,['Símbol de cúmulus.']
cumulonimbus,"['Massa puixant de núvols, amb forta creixença vertical, que s’aixeca damunt d’una socolada cumuliforme, en forma de muntanyes o de torres, la part superior de la qual és de textura fibrosa i a vegades es desplega a tall d’enclusa.']"
Cb,['Símbol de cumulonimbus.']
cumuliforme,"['Tipologia de núvols que inclou tots els gèneres que presenten habitualment un desenvolupament vertical igual o més gran que la seva dimensió horitzontal. Inclou els cirrocúmuls, els altocúmuls, els cúmuls i els cumulonimbus.']"
D,['Símbol de depressió.']
DANA,['Sigla de depressió aïllada en nivells alts.']
depressió aïllada en nivells alts,"['Zona de baixa pressió aïllada en altura, entre els nivells de 500 i 300 hPa, despenjada de la circulació zonal general de l’oest.']"
dades indirectes,"['Indicadors climàtics indirectes obtinguts de fonts geològiques, biològiques, documents històrics, notarials, eclesiàstics, etc., que permeten extreure informació del clima del passat en períodes preinstrumentals.']"
dades proxy,['Dades indirectes.']
dècada,"['Període de deu dies. A vegades es designa amb aquest nom un període de deu anys, però és preferible anomenar-lo decenni. Quan se subdivideix un mes en dècades, als efectes de l’estadística, les dues primeres són de deu dies, i s’admet que la tercera sia de deu, onze, vuit o nou, segons els mesos.']"
decenni,['Període de deu anys.']
declinació magnètica,"['Angle comprès entre el meridià geogràfic i el magnètic. La gent de mar en diu incorrectament variació magnètica. Se la qualifica d’est o oest, segons si el nord magnètic és a l’est o a l’oest del geogràfic.']"
dèficit de saturació,"['Quantitat de vapor d’aigua que 1 m3 d’aire podria encara absorbir fins a quedar saturat. Se’n diu també dèficit higromètric si es compta en percentatge d’humitat. Alguns autors, en lloc del dèficit de quantitat, entenen com a dèficit de saturació el de tensió de vapor.']"
dèficit de saturació fisiològic,"['Quantitat d’aigua que 1 m3 d’aire inspirat pot sostreure a l’aparell respiratori, suposant que la seva temperatura puja fins als 37 °C.']"
dèficit higromètric,['Dèficit de saturació.']
deflexió,"['Desviació del vent, particularment la produïda per la força de Coriolis corresponent a la rotació de la Terra.']"
dendrita,['Agrupació de cristalls de glaç que té una estructura arborescent i constitueix la neu.']
dendroclimatologia,['Part de la climatologia que estudia el clima a partir de l’anàlisi dels anells de creixement dels arbres.']
densitat,"['Quocient entre la massa d’una substància i el seu volum. La densitat de l’aire depèn de la temperatura, la pressió i la humitat. Al nivell de mar i en condicions estàndard (atmosfera estàndard) té un valor de 1.225 kg · m–3.']"
densitat espectral,['Quocient entre el valor d’una magnitud radiomètrica i l’interval de longitud d’ona en el qual es mesura.']
densitat potencial,['Densitat que tindria l’aire portat a la pressió normal. La condició d’estabilitat de l’atmosfera és que la densitat potencial disminueixi en créixer l’altitud.']
depegrama,['Corba que en el tefigrama d’un sondatge representa les variacions del punt de rosada corresponents a les variacions de pressió.']
depressió,['Baixa.']
depressió càlida,['Depressió en la qual l’aire de l’interior és més càlid que en les zones del seu voltant.']
depressió del punt de rosada,['Diferència entre els valors de la temperatura de l’aire i del punt de rosada en un moment determinat.']
depressió despresa,['Depressió freda que es desvia del seu moviment normal iniciat a l’oest per desplaçar-se baixant de latitud.']
depressió freda,['Depressió en la qual l’aire de l’interior és més fred que en les zones del seu voltant.']
depressió frontal,['Borrasca extratropical.']
depressió orogràfica,['Depressió que es forma a sotavent d’un obstacle orogràfic quan incideix un flux de vent a l’altre vessant.']
depressió per capil·laritat,"['Quantitat en la qual resulta massa baixa la columna del baròmetre, per efecte de la capil·laritat entre el mercuri i el vidre.']"
depressió polar,['Depressió que es forma dins una massa d’aire polar quan aquest aire circula per sobre l’oceà i s’escalfa intensament a les capes baixes.']
depressió principal,['Depressió més antiga o més important dins una família de depressions.']
depressió retrògrada,"['Depressió que es desplaça en sentit oposat al que tenia inicialment. Com que habitualment les depressions circulen d’oest a est, reben aquest nom les que circulen en sentit contrari.']"
depressió secundària,"['Regió de mínima pressió relativa, annexa a una depressió principal, generalment en la meitat meridional d’aquesta.', 'Depressió que està lligada a una de més o menys important que es considera principal.', 'La depressió secundària pot ser ben caracteritzada amb isòbares tancades, o només insinuar-se en la carta del temps per una distorsió de les isòbares en forma de gep o de bossa. Els temporals de llevant (NE) de la costa catalana són molt sovint produïts per nuclis secundaris d’una depressió més important situada més al nord.']"
depressió tèrmica,['Depressió causada per un escalfament intens de la superfície terrestre.']
depressió tropical,['Depressió d’origen tropical.']
descàrrega de guia,['Descàrrega inicial d’un llamp que es correspon amb l’establiment d’un canal ionitzat del núvol a terra pel qual puja la descàrrega de retorn.']
descàrrega de retorn,['Descàrrega elèctrica intensa i molt lluminosa que segueix a la descàrrega de guia en un sentit invers dins el canal establert per aquesta descàrrega.']
descàrrega elèctrica,['Vegeu llamp.']
descàrrega freda,"['Moviment de l’aire fred postfrontal, empès pels vents del darrere d’un front fred.']"
descendència,['Subsidència.']
desert,['Vasta regió en la qual el terreny no té saó suficient per a mantenir la vegetació. Moltes de les grans zones de deserts es troben en les zones anticiclòniques de la Terra.']
desglaç,"['Liquació del glaç.', 'Cessació d’una glaçada.']"
dessecació,"['Desaparició de l’aigua d’un país per causes naturals, com és, per exemple, la disminució de les precipitacions.']"
desviació,"['Diferència o «apartament» entre cada observació i el valor de mitjana d’una sèrie d’elles.', 'Angle que forma la direcció del vent amb les isòbares.']"
dia cobert,['Dia en el qual la nuvolositat mitjana a les hores d’observació és de més de 8 dècimes de cel.']
dia de glaç,['Dia amb una temperatura màxima igual o inferior a 0 °C.']
dia de glaçada,"['En les estadístiques climatològiques, se sol comptar com a dia de glaçada aquell en el qual el termòmetre dins l’abric normal baixa a 0 °C. Es diu que «la glaçada és total» quan la temperatura màxima del dia no excedeix de 0 °C.']"
dia meteorològic,['Període de temps de 24 hores comprès entre les 8 hores d’un dia i les 8 hores de l’endemà.']
dia de neu,['Dia en el qual s’ha vist nevar.']
dia de pluja,"['Dia durant el qual han estat recollits 0,2 mm de pluja o més. En les estadístiques climatològiques, i a aquest efecte, el dia se sol comptar a partir de l’hora d’observació normal del matí (ordinàriament, des de les 8 h o les 9 h). Quan hi ha la certesa que ha plogut, però la quantitat no arriba a 0,2 mm, es diu que ha estat un «dia de pluja inapreciable (o no mesurable)».']"
dia de precipitació,"['Període de 24 hores, comprès entre dues observacions sistemàtiques, en el qual el pluviòmetre ha recollit qualsevol de les formes de precipitació aquosa.']"
dia ennuvolat,['Aquell en el qual la nuvolositat total mitjana a les hores d’observació està compresa entre 2 i 8 dècimes.']
dia-grau,"['Unitat de temperatura acumulada per una planta, equivalent a 1 °C de temperatura mitjana durant un dia.']"
dia serè,['Tècnicament s’entén per dia serè aquell en el qual la mitjana de la quantitat de núvols a les hores d’observació és inferior a dues dècimes de cel.']
diagrama adiabàtic,['Diagrama termodinàmic.']
diagrama aerològic,"['En general, línia que representa els resultats d’un sondatge i mostra la simultaneïtat dels valors de dues magnituds variables amb l’altitud. El diagrama més senzill és el que expressa la temperatura de l’aire en funció de l’altitud o de la pressió, referides a dos eixos cartesians.']"
diagrama de difusió de la radiació,['Diagrama que representa la distribució espacial de la intensitat radiant al voltant d’una partícula responsable de la difusió de la radiació que incideix sobre ella.']
diagrama de Herlofson,"['Diagrama termodinàmic de variables T + k · ln p en abscisses i ‒rp · ln p en ordenades, on T és la temperatura de l’aire i p la pressió atmosfèrica.']"
diagrama de Refsdal,"['Diagrama termodinàmic, utilitzat en aerologia, de variables ln (T) en abscisses i T · ln (P) en ordenades, on T és la temperatura de l’aire i P la pressió atmosfèrica.']"
diagrama de Rossby,"['Diagrama termodinàmic en el qual són representades les propietats més constants de les masses d’aire: temperatura potencial parcial, temperatura equivalent potencial i quantitat de vapor (en grams) per kilogram d’aire sec.']"
diagrama termodinàmic,['Diagrama que representa l’estat termodinàmic d’una massa d’aire.']
diagrama energètic,"['Diagrama termodinàmic en el qual les àrees són proporcionals a l’energia.', 'Diagrama termodinàmic en el qual l’àrea tancada per un cicle de transformació d’una massa d’aire és proporcional al treball efectuat per ella.']"
diagrama pseudoadiabàtic,['Diagrama termodinàmic en el qual hi ha traçades les adiabàtiques saturades. També es pot definir com el diagrama termodinàmic en el qual les adiabàtiques seques són rectes.']
diatèrman | diatèrmana,['Que deixa passar les radiacions calorífiques.']
diatermància,['Propietat de deixar passar les radiacions calorífiques.']
diferència psicromètrica,"['En un psicròmetre, diferència en la lectura del termòmetre sec i l’humit.']"
difluència,['Separació progressiva de les línies de corrent d’un fluid en moviment.']
difracció,['Desviació de la llum del seu camí rectilini en passar rasant la vora d’un obstacle.']
difusió,"['Procés físic que té lloc en els fluids, com l’aire, consistent en la propagació d’una determinada propietat del fluid o matèria del mateix fluid.']"
difusió de la llum,"['Desviació dels raigs lluminosos en trobar les molècules de l’aire, i en general obstacles de dimensions més petites que les seves longituds d’ona. És un fenomen mecànicament diferent de la difracció per cossos més grans que la longitud d’ona. La difusió és el principal fenomen que produeix el color blau del cel (scattering, en anglès).']"
difusió de la radiació,['Procés pel qual una molècula o partícula sostreu una certa quantitat d’energia i la redistribueix en totes les direccions d’una ona electromagnètica.']
difusió Mie,"['Difusió de la radiació causada per partícules de dimensions més grans que la longitud d’ona incident, com ho són els aerosols, les gotes de núvol o boira i els cristalls de glaç.']"
difusió Rayleigh,['Difusió de la radiació causada per partícules de dimensions més petites que la longitud d’ona incident. És la difusió que provoca la blavor del cel.']
difusió molecular,"['Barreja lenta de dos fluids en contacte, per virtut de les mútues interaccions moleculars.', 'Difusió de la llum per les molècules de l’aire.']"
difusió turbulenta,"['Barreja de dos fluids en contacte, per efecte dels remolins de turbulència. És un procés molt més ràpid que la difusió molecular.']"
dimoniet de sorra,['Remolí de pols.']
dina,['Unitat de força en el sistema C. G. S. És la força que aplicada a la massa d’un gram li comunica una acceleració d’1 centímetre per segon.']
dipol orogràfic,"['Distribució d’una zona d’alta pressió i una de baixa pressió que es formen en els dos vessants d’un sistema muntanyós quan hi incideix un flux de vent d’una manera més o menys perpendicular. Un flux incident a sobrevent d’un sistema muntanyós crea una zona d’alta pressió, mentre que a sotavent crea una zona de baixa pressió, que conjuntament conformen l’anomenat dipol orogràfic, el qual modifica el flux general de vent.']"
dipòsit del termòmetre,['Vegeu termòmetre de bola negra.']
direcció del vent,"['La direcció del vent o dels núvols s’expressa per la direcció del punt d’on venen. El vent nord és un vent que ve del nord. Per convenció, les direccions s’expressen per les lletres inicials dels rumbs; l’oest es designa per la lletra W.']"
discontinuïtat,"['Variació del valor d’una variable meteorològica, de forma sobtada o en proporcions molt superiors a la normal.']"
disdròmetre,['Captador de gotes.']
dissipació,['Procés de desaparició dels núvols o de la boira a conseqüència de l’evaporació de les gotes líquides que els formen.']
dispersió,"['Procés pel qual una radiació que travessa un medi es divideix en els seus components espectrals, a causa de la interacció amb les partícules d’aquest medi.']"
distrail,['Rastre de dissipació que deixa un avió quan travessa un cel cobert de núvols. Acrònim del terme anglès dissipation trail.']
diürn | diürna,"['Que fa referència al període d’un dia (variació diürna, corba diürna d’una variable meteorològica).']"
divergència,"['Condició en la qual, en una àrea determinada de la superfície terrestre, surt més aire, per efecte del vent, del que hi entra. Aquesta condició requereix l’existència d’un moviment descendent o de subsidència de l’aire. És una dinàmica pròpia de les zones anticiclòniques, amb un moviment de l’aire que es produeix en una regió de dins cap enfora.']"
dorsal,"['Prolongació d’un anticicló que en la carta del temps es presenta a vegades com una extensió del relleu isobàric en forma d’esquena d’ase, preferentment cap a la banda polar de les altes pressions.']"
draperies,['Vels lluminosos en forma de cortinatges que a vegades presenta l’aurora polar.']
drosògraf,['Drosòmetre inscriptor.']
drosòmetre,['Aparell per a mesurar la quantitat de rosada.']
duplicatus,"['Varietat de núvol del gènere cirrus, cirroestratus, altocúmulus, altoestratus o estratocúmulus que constitueix capes de núvols d’altituds similars i de vegades parcialment barrejades.']"
durada de la insolació,"['Temps durant el qual ha lluït el Sol (generalment, en un dia o en un any). En la pràctica, temps durant el qual ha estat impressionat l’aparell inscriptor de la insolació. Aquesta mesura és molt influïda per l’absorció atmosfèrica. L’heliògraf de Campbell-Stokes deixa de marcar quan hi ha vels de cirrus un xic densos o quan el Sol és a menys de 5° d’altura sobre l’horitzó, malgrat que l’astre sia perfectament visible. Si s’usa com a inscriptor el termòmetre diferencial de contactes elèctrics, la durada marcada per l’aparell és encara més curta que la de l’heliògraf. Per aquest motiu, se sol afegir als resultats del termòmetre diferencial un terme de correcció determinat empíricament.']"
ecotop,"['Màxima altitud sobre el nivell del mar del senyal de retorn d’un radar meteorològic, i que s’associa a la màxima altitud on hi ha precipitació dins del núvol.']"
efecte de Coriolis,"['Desviament de la trajectòria dels cossos sense l’acció d’una força perquè el moviment es produeix en un sistema de referència no inercial, per exemple, en rotació. A la Terra, la rotació terrestre desvia els objectes que es desplacen tant per l’aire com en superfície cap a la dreta del seu moviment a l’hemisferi nord, i cap a l’esquerra al sud.']"
efecte hivernacle,"['Fenomen que consisteix en l’escalfament de l’atmosfera perquè és en gran manera transparent a la radiació solar visible incident, però opaca a la radiació infraroja provinent de la superfície terrestre.']"
efecte d’hivernacle,['Efecte hivernacle.']
efecte föhn,"['Fenomen que es produeix quan un vent humit remunta una carena muntanyenca, de tal manera que al costat de sobrevent es formen núvols i precipitació i a l’altre costat s’enregistra un augment de temperatura de l’aire i un descens de la humitat relativa.']"
efecte Lenard,['Fenomen que consisteix en la ionització atmosfèrica causada per la pluja.']
eix d’anticicló,['Línia que uneix en un mapa sinòptic els punts de pressió atmosfèrica màxima de cada nivell d’un anticicló.']
eix de depressió,"['Lloc geomètric dels centres de baixa pressió corresponents a les isòbares a diferents nivells.', 'Línia que uneix en un mapa sinòptic els punts de pressió atmosfèrica mínima de cada nivell d’una depressió.']"
eixut,"['Sequedat per manca de pluja.', 'Llarg període de dies sense precipitacions atmosfèriques («tongada d’eixut»).']"
El Niño,"['Fenomen cíclic, però no periòdic, que es produeix al voltant del 25 de desembre (d’aquí el nom, en al·lusió al nen Jesús), que es manifesta amb un escalfament anòmal de l’aigua superficial de la part oriental de l’oceà Pacífic equatorial, i que quan persisteix durant uns mesos, altera els patrons de circulació atmosfèrica i oceànica tant d’aquesta regió com d’altres del planeta. És la fase negativa del fenomen climàtic ENSO.']"
Niño,['Vegeu El Niño.']
electricitat atmosfèrica,"['L’electricitat de l’atmosfera, deguda a causes naturals.']"
electrometeor,['Meteor elèctric.']
electròmetre,"['Aparell per a mesurar la força electromotriu, especialment de l’electricitat estàtica.']"
electrosonda,['Radiosonda que mesura les variacions del potencial elèctric a l’atmosfera lliure.']
element,['Qualsevol variable o fenomen meteorològic que defineix l’estat del temps atmosfèric en un moment donat i lloc concret.']
elevació,['Distància vertical des del mar fins a un objecte o nivell situat per sobre d’aquest.']
elf,"['Anell lluminós de forma toroidal que assoleix centenars de kilòmetres de diàmetre, que s’expandeix verticalment sobre determinades tempestes a gran velocitat a l’alta atmosfera, per sobre dels 100 km d’altitud, i té una durada de fraccions de segon.']"
estació meteorològica automàtica,['Estació formada per diversos sensors que mesuren de forma contínua algunes variables atmosfèriques i les transmeten als serveis o centres meteorològics.']
EMA,['Sigla de estació meteorològica automàtica.']
emagrama,['Diagrama energètic amb les coordenades temperatura i logaritme de la pressió.']
embat,"['A Mallorca, brisa marina que assoleix certa intensitat, principalment els migdies dels mesos més càlids.']"
embut de la tropopausa,['Deformació en forma d’embut que experimenta la tropopausa per sobre de depressions molt intenses.']
emissari,['Núvol que precedeix un sistema nuvolós viatger; principalment cirrus.']
emitància,['Radiació que emet un cos per unitat de temps i de superfície.']
enclusa,['Incus.']
enfosquir-se,['El cel tornar-se fosc quan es cobreix de núvols densos que redueixen de forma important la radiació solar.']
engelament,"['Formació d’una capa de gel sobre objectes exposats a l’impacte de gotes o gotetes d’aigua líquida o en subfusió que formen un núvol. En les aeronaus provoca l’acumulació de gel en diferents parts, fet que pot modificar la seva sustentació o provocar el mal funcionament d’alguns dels aparells a bord i esdevenir perillós.']"
ennuvolat,"['En la pràctica, és costum anomenar ennuvolat aquell estat del cel en el qual la nuvolositat total és de 3 a 7 dècimes.']"
ensemble,['Predicció per conjunts.']
ENSO,"['Patró climàtic d’El Niño - oscil·lació del sud. Es tracta d’una sigla que prové del terme anglès El Niño-Southern Oscillation. Es parla d’un cicle ENSO de fase negativa quan apareix el patró d’El Niño, i positiva amb el patró de La Niña.']"
entropia,"['Relació entre la quantitat de calor que entra o surt d’un cos i la temperatura a la qual té lloc el procés. En l’atmosfera, les variacions de l’entropia de l’aire són proporcionals a les del logaritme de la seva temperatura potencial.']"
envelliment d’una massa d’aire,"['Canvi dels valors de les variables meteorològiques dins d’una massa d’aire, per efecte de radiació, turbulència, contacte amb el terreny o la mar, etc.']"
eòlic | eòlica,"['S’aplica a l’acció del vent, en particular als efectes de la seva acció continuada (p. ex., erosió eòlica).']"
equació de Poisson,"['Equació que lliga la temperatura i la pressió de l’aire en una transformació adiabàtica: (T1/T2)=(p1/p2)0,288']"
EPS,['Sigla de predicció per conjunts.']
equació personal,['Diferència sistemàtica que hi ha entre els valors mesurats per un observador i els valors més probables de les magnituds mesurades.']
equador tèrmic,['Línia que passa pel mig de la faixa d’alta temperatura que existeix prop de l’equador geogràfic. La seva posició varia amb les estacions de l’any.']
equilibri adiabàtic,['Equilibri que es produeix en l’atmosfera en la qual hi ha un gradient adiabàtic provocat únicament per la turbulència atmosfèrica.']
equilibri condicional,"['Situació en la qual el gradient tèrmic vertical té un valor entre el gradient adiabàtic sec i el saturat. En aquesta situació, l’aire sec és estable, i el saturat, inestable, de manera que l’estabilitat depèn del grau d’humitat.']"
equilibri convectiu,"['Situació en la qual una partícula d’aire en moviment vertical té sempre la mateixa densitat que l’aire ambient. Correspon al cas d’un gradient adiabàtic (sec o saturat, segons sia la humitat de la partícula).']"
equilibri indiferent,['Equilibri convectiu.']
equilibri neutre,['Equilibri convectiu.']
equilibri geostròfic,"['Equilibri que es produeix a l’atmosfera quan la força deguda a la variació de la pressió atmosfèrica horitzontal és contrarestada per la força de Coriolis, suposant que aquestes forces són les úniques que actuen sobre la massa d’aire. El resultat és el vent geostròfic.']"
equilibri hidroestàtic,"['Balanç entre la força gravitatòria (descendent) i la força deguda al gradient vertical de pressió de l’aire (ascendent), que evita que els gasos de l’atmosfera col·lapsin pel seu propi pes sobre la superfície de la Terra.']"
equinocci,['Qualsevol dels dos dies de l’any en els quals són iguals les durades del dia i de la nit en tots els llocs de la Terra. Hi ha un equinocci de primavera a l’hemisferi nord i de tardor al sud (cap al 21 de març) i un de tardor a l’hemisferi nord i de primavera al sud (cap al 22 de setembre).']
equisaturada,['Línia que uneix en un diagrama termodinàmic els estats que tenen una mateixa proporció de mescla.']
era glacial,['Glaciació.']
erg,['Unitat absoluta de treball en el sistema C. G. S. És el treball d’1 dina en el trajecte d’1 centímetre.']
error de zero,['Error en les lectures d’un instrument per efecte de la defectuosa situació del zero de la seva escala.']
escala absoluta,"['Escala de temperatura T(K) que parteix d’un valor teòric conegut com a zero absolut, que indica l’absència total d’energia i, per tant, d’agitació tèrmica de les molècules. En aquesta escala s’assigna el punt triple de l’aigua pura a una temperatura de 273,16 K (equivalent a 0,01 °C) i, per tant, el zero absolut 0 K equival a –273,15 °C. La variació d’un kelvin equival a la variació d’un grau centígrad.']"
escala Celsius,"['Escala de temperatura t(°C) definida en funció l’escala absoluta segons la relació t(°C) = T(K) –273,15.']"
escala centígrada,['Escala Celsius.']
escala de Beaufort,"['Escala numèrica que estima la força del vent. Estableix 13 graus, en què el 0 és la calma i el 12 és el temporal huracanat. Aquesta escala associa la intensitat del vent a partir de l’observació d’aquest sobre la superfície terrestre i la marítima.']"
escala de Douglas,"['Escala numèrica que classifica els diferents estats del mar, entre 0 i 9.']"
escala de Linke,['Escala de tonalitats que estima la blavor del cel.']
escala Fahrenheit,"['Escala de temperatura t(° F) definida en funció de l’escala absoluta T(K) segons la relació t(°F) = 1,8 · [T(K) –273] + 32.']"
escala Kelvin,['Escala absoluta.']
escala de Fujita,['Escala numèrica que quantifica la força d’un tornado segons els danys que ocasiona al seu pas tant en les infraestructures com en l’arbrat i la vegetació. L’escala millorada (escala de Fujita millorada) estableix sis graus (d’EF0 a EF5).']
escala Saffir-Simpson,"['Escala numèrica que permet classificar la intensitat dels ciclons tropicals en cinc categories, segons la intensitat dels vents que provoca i la pressió atmosfèrica en superfície al centre del cicló.']"
escala sinòptica,"['Escala que engloba aquells fenòmens i elements meteorològics amb unes dimensions espacials d’entre pocs centenars de metres a pocs milers de kilòmetres, i una durada d’entre pocs dies a diverses setmanes.']"
escala telegràfica del vent,"['Modificació de l’escala de Beaufort, reduïda a 10 graus i acomodada a un codi de 10 xifres.']"
escala tercentesimal,"['Escala termomètrica en la qual la temperatura ve expressada afegint 273° a la temperatura centígrada. En els problemes meteorològics, és pràcticament igual a l’escala absoluta.']"
escalar,['Qualitat d’una magnitud en la qual no intervé el concepte de direcció.']
escalfament dinàmic,['Augment de temperatura produït per la compressió d’un gas.']
escampar,"['Aclarir-se els núvols, el temps plujós, la temperatura carregada, etc.']"
escenari climàtic,"['Possible estat futur del clima d’una regió de la Terra, com a resultat de les simulacions numèriques suposant uns valors d’emissions dels gasos d’efecte hivernacle. Els estudis de canvi climàtic plantegen diferents projeccions climàtiques elaborades a partir de diferents escenaris climàtics.']"
escintilòmetre,['Aparell per a determinar el grau de llampurneig de les estrelles.']
escissió,['Divisió d’un corrent d’aire o d’un nucli de variació baromètrica.']
esclafit,"['Cop de vent sobtat i intens produït per l’arribada a la superfície del terreny del corrent descendent que es forma dins d’un núvol de tempesta. Quan aquesta massa d’aire descendeix del núvol d’una manera violenta, un cop arriba al nivell del terra, origina aquest vent sobtat en expandir-se lateralment al voltant de la zona on descendeix. Es parla d’esclafit humit quan va acompanyat de precipitació i d’esclafit sec quan no hi ha precipitació.']"
esclafit humit,['Vegeu esclafit.']
esclafit sec,['Vegeu esclafit.']
escolament,['Percolació.']
escombrada d’aire polar,"['Irrupció de l’aire polar en la massa d’aire tropical, que produeix una interrupció del front polar. Les escombrades d’aire polar penetren molt cap al sud, fins a confondre’s amb els vents alisis.', 'Neu aixecada pel vent empesa molt poc per sobre el terreny, sense que la visibilitat vertical en sigui sensiblement minvada. El moviment es fa gairebé en línia recta.']"
espècie de núvol,"['Cadascuna de les quinze subdivisions dels gèneres de núvols, definides per l’Organització Meteorològica Mundial. Fan referència a determinades peculiaritats i característiques del núvol.']"
espècie nuvolosa,['Espècie de núvol.']
espectre del Brocken,['Ombra d’un objecte o persona projectada en la boira. La difusió dels contorns i l’augment de la mida de la imatge a causa de la distància produeixen la il·lusió que es tracta de la presència d’un personatge gegantí. Freqüentment apareix a la part superior de la silueta que forma l’espectre de Brocken una aurèola lluminosa.']
